idDBLP,idScholar,DBLP_Match,Scholar_Match,Match_ID
journals/sigmod/HummerLW02,W1IcM8IUwAEJ,31,27486,31_27486
conf/vldb/LometT95,7KawVN8Kj10J,32,28921,32_28921
conf/vldb/Wang95,7FUOWtSbiogJ,33,61219,33_61219
journals/sigmod/Winslett02a,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D565127%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,34,55548,34_55548
conf/vldb/SumiyaYTSI95,ZoMjwB0ps2kJ,35,55210,35_55210
journals/sigmod/Camps02,JclQFC-1s18J,36,728,36_728
conf/vldb/DidriksenGD95,0TNJ5d1tfkEJ,37,51096,37_51096
journals/sigmod/HalkidiBV02,GHjgDrEbqM4J,38,11886,38_11886
journals/sigmod/PourabbasR02,QyNfyYDySawJ,39,60341,39_60341
conf/vldb/HoelS95,hwBMsP8-fXcJ,40,2552,40_2552
journals/sigmod/SlivinskasJS02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D565119%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,41,38921,41_38921
conf/vldb/BrownS95,F-v-VG2RBQoJ,42,2163,42_2163
journals/sigmod/Liu02a,_cil6uzFNtsJ,43,53051,43_53051
conf/vldb/LeslieJBY95,zmwPMSd8rGgJ,44,63634,44_63634
journals/sigmod/CruzKLSWY02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D601882%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,45,42318,45_42318
conf/vldb/OrensteinK95,Trw6DEZeqTsJ,46,19246,46_19246
journals/sigmod/LuoI02,url:http://portal.acm.org/citation.cfm%3Fid%3D601858.601879%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,47,54594,47_54594
conf/vldb/Lindsay95,RIpWKrKho0MJ,48,12694,48_12694
journals/sigmod/Wiegand02,RAcoVQuEzD8J,49,61163,49_61163
conf/vldb/KonopnickiS95,fAZ2KwztkLoJ,50,34911,50_34911
journals/sigmod/OrlandicLS02,eLf0eStn5G4J,51,36934,51_36934
conf/vldb/WienerN95,Y1lEnVPl6d8J,52,6362,52_6362
conf/vldb/Korth95,UZAQL1o-c0MJ,54,45108,54_45108
journals/sigmod/Fagin02,C3swZi1md5YJ,55,51445,55_51445
conf/vldb/ReuterCGSW95,url:http://portal.acm.org/citation.cfm%3Fid%3D645921.673318,56,18639,56_18639
conf/vldb/GoyalHSS95,2sGH4SLcdL4J,57,13763,57_13763
journals/sigmod/LaenderRST02,paQAZ2KXFgAJ,58,20103,58_20103
conf/vldb/BestavrosB95,lGyhpsPV6ogJ,59,39873,59_39873
journals/sigmod/BerzalM02,U7glO1ebLPYJ,61,4564,61_4564
conf/vldb/WuYCT95,A5s_U6Ixg3EJ,62,26453,62_26453
conf/vldb/MogiK95,39DBh8H18iEJ,63,22768,63_22768
journals/sigmod/Aberer02a,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D776994%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,64,37312,64_37312
conf/vldb/JonscherD94,1R21hO7j9sQJ,66,36505,66_36505
journals/sigmod/YaoG02,ARLe7W8EvDoJ,67,14320,67_14320
conf/vldb/JagadishLRSS94,Yiwh22hbTAcJ,68,54799,68_54799
journals/sigmod/Kuijpers02,url:http://www.springerlink.com/index/AXRTPDYPVJQHADPX.pdf,69,46759,69_46759
conf/vldb/Galindo-LegariaPK94,47fE4F2kahEJ,70,7803,70_7803
journals/sigmod/Weikum02,url:http://portal.acm.org/citation.cfm%3Fid%3D601858.601867%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,71,38831,71_38831
conf/vldb/WienerN94,PrUWsoySLGcJ,72,37719,72_37719
conf/vldb/NgH94,YMluKoJrxMcJ,73,53617,73_53617
journals/sigmod/Neven02,xAXF0HSF4h8J,74,12937,74_12937
journals/sigmod/WinslettCDHZZ02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D601881%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,75,51637,75_51637
conf/vldb/BrownCC94,oayI0FKl-nQJ,76,25690,76_25690
conf/vldb/FuC94,ReboDjzo5y0J,78,59832,78_59832
conf/vldb/OuzzaniAB94,CgoUJ7DogcwJ,80,56168,80_56168
conf/vldb/FrohnLU94,xpreqF8k7N4J,81,25609,81_25609
conf/vldb/Guting94,584tvD8f6AAJ,83,8541,83_8541
journals/sigmod/LeveneP02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1031591%26type%3Dpdf,84,29327,84_29327
journals/sigmod/CrestaniG02,tyZxVraNgTsJ,85,2858,85_2858
conf/vldb/GutierrezPST94,VUU_DceCRXAJ,86,21825,86_21825
conf/vldb/KemperK94,qUfWV4VVxegJ,87,48632,87_48632
journals/sigmod/Winslett02b,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D601871%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,89,41236,89_41236
conf/vldb/BarjaPFWD94,qhl9_KGvjcUJ,91,62170,91_62170
journals/sigmod/LightstoneLZ02,7TYVQTwq9FIJ,92,15950,92_15950
journals/sigmod/RossAJS02,uPBlQ76s_g4J,93,39333,93_39333
conf/vldb/BaralisW94,q-td2YANr18J,94,7258,94_7258
conf/vldb/AgrawalS94,P0age7qyZacJ,96,7823,96_7823
journals/sigmod/Badia02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D637425%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,97,4581,97_4581
conf/vldb/HaberIL95,UM1ZozyrJnIJ,98,13709,98_13709
journals/sigmod/GobleR02a,B-u4advaVBkJ,99,58347,99_58347
conf/vldb/AgrawalPWZ95,x_ykbVlfyP8J,100,41257,100_41257
conf/vldb/EvangelidisLS95,EbGZKQPyH_4J,102,21911,102_21911
journals/sigmod/Wu02,zCrDiwnKRHIJ,103,52191,103_52191
conf/vldb/KalusD95,r1xwwqWr2K0J,104,15549,104_15549
conf/vldb/Sarawagi95,w9je55hjOlwJ,105,45846,105_45846
journals/sigmod/FininJ02,rg8576nvnkUJ,106,53955,106_53955
journals/sigmod/SureSS02,v0tY6g0DHMcJ,107,24798,107_24798
conf/vldb/Brin95,dXegp-RmzXEJ,108,29303,108_29303
conf/vldb/RamakrishnanGRSWZ95,JAMaus2HrE0J,109,23433,109_23433
journals/sigmod/ButtlerCCFHLPRX02,JScvAMYcsmoJ,110,36483,110_36483
journals/sigmod/AnyanwuS02,LoDGuFLlvsAJ,111,6002,111_6002
conf/vldb/SistlaYLL95,HtTNmhCJY-oJ,112,13852,112_13852
journals/sigmod/HalkidiBV02a,SFs0XOMPphIJ,113,16946,113_16946
conf/vldb/Meier95,C_lenwvj88AJ,114,39083,114_39083
conf/vldb/SeligmanBNSW95,T6a86CQCuHoJ,116,34186,116_34186
conf/vldb/Vaskevitch95,s6Ax0WdZp6IJ,117,60634,117_60634
journals/sigmod/Aberer02b,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D637424%26type%3Dpdf%26coll%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,118,39690,118_39690
journals/sigmod/HuangKL02,yyUMt1X2WXcJ,119,23180,119_23180
conf/vldb/SimonD95,lLARMvKaIQMJ,120,45050,120_45050
conf/vldb/CatozziR95,8ftKLh07LM0J,121,17415,121_17415
journals/sigmod/Grohe02,jzwiskpRLOUJ,123,13572,123_13572
conf/vldb/Fecteau95,LhjvKpDcJKUJ,124,7407,124_7407
journals/sigmod/RoantreeS02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D637435%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,125,32393,125_32393
conf/vldb/Hallmark95,xTKZ6OuegIEJ,126,29458,126_29458
conf/vldb/Spintzik95,QcD01ZjsNcIJ,127,22159,127_22159
journals/sigmod/BoucelmaCGJLL02,I9JXY0-R4GgJ,128,24329,128_24329
conf/vldb/AmielBDS94,hBak02oe1GMJ,129,36719,129_36719
journals/sigmod/HanBP01, ,130,56579,130_56579
journals/sigmod/Suciu01,_vOvQUzSV-gJ,131,11737,131_11737
conf/vldb/ColletCS94,uMutI8spj1QJ,132,41813,132_41813
journals/sigmod/Fankhauser01,_sltXCfRKhYJ,133,59684,133_59684
conf/vldb/BrownMCL94,xfAfu8uJ6NAJ,134,5099,134_5099
journals/sigmod/SchmidtWKFCMB01,fc8y9x82jqAJ,135,57345,135_57345
conf/vldb/LevyMS94,l-QHiSxClXcJ,136,16062,136_16062
journals/sigmod/Lomet01,fI5o4MfWwzIJ,137,24660,137_24660
conf/vldb/HasanM94,JW7LRQwx_goJ,138,50111,138_50111
journals/sigmod/TanakaV01,tA1HEgZGgrsJ,139,41338,139_41338
conf/vldb/MohaniaS94,JORYEDHKYSMJ,140,58481,140_58481
conf/vldb/LiC94,O0rvK0GFmBEJ,141,14805,141_14805
journals/sigmod/ChienTZ01,cjBpI3TcSWsJ,142,369,142_369
conf/vldb/IdrisGC94,Xf7TnMxlGTkJ,143,24167,143_24167
journals/sigmod/LudascherMM01,16yr6uv8Rn8J,144,4131,144_4131
conf/vldb/FerrandinaMZ94,yQ2TMZ92GaIJ,146,36342,146_36342
conf/vldb/TeisseirePC94,w17spSGfEXYJ,147,13198,147_13198
journals/sigmod/Winslett01,m2Mf-4BgLP4J,149,60266,149_60266
conf/vldb/SetzerZ94,1tmW1mOCZqIJ,150,44664,150_44664
conf/vldb/GehaniJR94,MxYiwR2f9UYJ,151,40341,151_40341
journals/sigmod/BunemanFSW01,vsgKNz-kktsJ,153,63438,153_63438
conf/vldb/KilgerM94,OzgnxugGCWMJ,154,29910,154_29910
journals/sigmod/Liu01,url:http://www.roc.noaa.gov/news/vol1is4.pdf,155,5265,155_5265
conf/vldb/SreenathS94,sUcJBJwvKTUJ,156,61427,156_61427
conf/vldb/HoelS94,Id1cvsQURBAJ,157,16245,157_16245
journals/sigmod/EisenbergM01,GKUflKzgAVEJ,158,62559,158_62559
conf/vldb/BrinkhoffK94,egvBPvtoaMMJ,160,28780,160_28780
journals/sigmod/ShahMFH01,7b-nJDMGtwUJ,161,22789,161_22789
conf/vldb/MuntzR94,o9DfGI9zsloJ,162,9744,162_9744
journals/sigmod/MeltonE01,619anaISuGEJ,163,12548,163_12548
conf/vldb/SteenhagenABB94,Xr2RguUzt-gJ,164,55082,164_55082
conf/vldb/ChakravarthyKAK94,L9eva_gsxrIJ,166,45469,166_45469
journals/sigmod/LenzeriniNNS01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D290595%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,167,1046,167_1046
conf/vldb/OzdenBRS94,ARyxUwGOA10J,168,37102,168_37102
conf/vldb/Chiueh94,nOF-SuSEaaEJ,170,15513,170_15513
conf/vldb/DeWittKLPY94,cehAAlTq4s8J,171,48997,171_48997
journals/sigmod/ShethMKA01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604286%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,172,32201,172_32201
journals/sigmod/Cetintemel01,CAKcsKXFoCoJ,173,45432,173_45432
conf/vldb/SripadaW94,VqNz3sp638UJ,174,32224,174_32224
conf/vldb/ShatdalKN94,27-P8X0mjfcJ,175,22119,175_22119
journals/sigmod/Labrinidis01,VA_m75gYvaoJ,176,15516,176_15516
conf/vldb/LevySSZ94,MtScC-fTWCEJ,177,31762,177_31762
journals/sigmod/BabuW01,KJ26gUP0PyIJ,178,29774,178_29774
journals/sigmod/Huyn01,KNYDz76C_HsJ,179,40404,179_40404
conf/vldb/GoodmanRS94,8CCHAKnGJ1EJ,180,1682,180_1682
conf/vldb/CochinwalaB94,Bp69wMYw9DAJ,181,63304,181_63304
journals/sigmod/ShanmugasundaramSKKVNT01,wTJy5XquCpsJ,182,37912,182_37912
conf/vldb/BernsteinD94,rNNtyNCgHLoJ,183,60497,183_60497
journals/sigmod/Aberer01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D603869%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,184,49760,184_49760
conf/vldb/IyerW94,5smJVUm1KAYJ,185,50975,185_50975
conf/vldb/AnandBH94, ,188,19225,188_19225
conf/vldb/RosenthalS94,NFUWsBXtCncJ,190,17439,190_17439
journals/sigmod/LabrinidisM01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D603886%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,191,40928,191_40928
conf/vldb/Lesk94,nL5wl20jB-kJ,192,13723,192_13723
conf/vldb/Bernstein94,TqLyg1wbo5UJ,193,26597,193_26597
journals/sigmod/Liu01b,skOc65LTInYJ,194,29707,194_29707
journals/sigmod/StolfoLCFE01,lvIPWxkN4YAJ,195,18711,195_18711
conf/sigmod/BabcockO03,acnzsOLHFywJ,196,46741,196_46741
conf/sigmod/DasGR03,JaJKfzmaEBYJ,197,55671,197_55671
journals/sigmod/BarbaraCJW01,asukNMVeZZYJ,198,43998,198_43998
journals/sigmod/CabreraLM01,b201QeqnlNkJ,199,48993,199_48993
conf/sigmod/WangJLY03,EQsWWZdE45wJ,200,46951,200_46951
conf/vldb/MartinC94,Ur6-XAMj3tIJ,201,5321,201_5321
journals/sigmod/Aberer01a,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,202,6685,202_6685
conf/vldb/YanA94,8j5i7YJQnNAJ,203,9764,203_9764
journals/sigmod/Cardelli01,UYAoi4DYOXUJ,204,8157,204_8157
conf/vldb/Spaccapietra94,ZpVzTb1a7VoJ,206,17665,206_17665
journals/sigmod/Barbara01,url:http://www.springerlink.com/index/W80L2810707344M1.pdf,207,1104,207_1104
conf/vldb/ZemankovaI94,Y1ZxtWV-qeUJ,208,20027,208_20027
journals/sigmod/LeeF01,oUisL_YUScYJ,209,35952,209_35952
conf/sigmod/FaginKS03,tQZWeE_nsa0J,210,33685,210_33685
journals/sigmod/SayginVC01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604271%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,211,47333,211_47333
conf/sigmod/ArasuG03,zN8ngmWNDlgJ,212,203,212_203
conf/sigmod/ChaudhuriGS03,OFGtGwUHhUQJ,213,11069,213_11069
journals/sigmod/VelACM01,LseDURw3BXMJ,214,61495,214_61495
journals/sigmod/Scholl01,url:http://portal.acm.org/citation.cfm%3Fid%3D604275,215,34948,215_34948
conf/sigmod/IlyasRLGL03,qCnvlNwYp6cJ,216,14515,216_14515
conf/sigmod/DeligiannakisR03,zMgbS5u_GwYJ,217,61577,217_61577
journals/sigmod/Jagadish01,url:http://portal.acm.org/citation.cfm%3Fid%3D604264.604276%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,218,9638,218_9638
conf/sigmod/BabcockBDM03,a2wqpKma5J4J,220,1120,220_1120
conf/sigmod/BenediktCFFR03,T5ZdpquqfJ0J,222,27356,222_27356
conf/sigmod/MiloAABN03,fHp5E4Rxt7cJ,224,32706,224_32706
conf/vldb/TsatalosSI94,zt5Ck1PrGf0J,225,7914,225_7914
journals/sigmod/TianDCZ02,JceK-ywXk8UJ,226,36892,226_36892
journals/sigmod/Dogac02,url:http://portal.acm.org/citation.cfm%3Fid%3D945721.945727%26coll%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,227,10486,227_10486
conf/vldb/ChaudhuriS94, ,228,51549,228_51549
conf/vldb/MatthesS94,KRLEL-N4Ce8J,229,18637,229_18637
journals/sigmod/SommerGB02,8l5_eKZcCh8J,230,810,230_810
journals/sigmod/Cingil02,2K6rhX16hXwJ,231,14374,231_14374
conf/vldb/DavisonG94,fN8wW3Y4FJkJ,232,9033,232_9033
journals/sigmod/QuixSJ02,BrO3XOrt66MJ,233,47737,233_47737
conf/vldb/MedianoCD94,qwjRkZuiMHsJ,234,51622,234_51622
conf/vldb/GaasterlandL94,oIFrkS2rPrcJ,235,54260,235_54260
journals/sigmod/CuiJO02,Llr0ikQ8yIIJ,236,20443,236_20443
conf/vldb/LitwinNS94,SnkWnX5WoKwJ,237,44324,237_44324
journals/sigmod/Bussler02,Phcd3C1cfLcJ,238,52792,238_52792
journals/sigmod/BallMRZ02,Mfc9xsb7BuQJ,239,63576,239_63576
conf/vldb/ChawatheCY94,VPwP1w9wvhEJ,240,45051,240_45051
conf/vldb/SistlaYH94,FT4Sfn-Z7GUJ,242,4516,242_4516
conf/vldb/LuOT94,ZFXYXT4yEcAJ,244,38211,244_38211
conf/vldb/HjelsvoldM94,eyNcyx9rcFwJ,245,23484,245_23484
journals/sigmod/Stonebraker02,0HMk-YUh4i8J,246,26,246_26
conf/vldb/PirotteZMY94,8s-SP8sAvQAJ,247,5138,247_5138
journals/sigmod/Suciu02,Ikk1rb4o66UJ,248,13104,248_13104
journals/sigmod/GobleR02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507366%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,249,192,249_192
conf/vldb/NgY94,1O-Uy922LQUJ,250,51927,250_51927
conf/vldb/PoulovassilisS94,0BMQ7HirTaUJ,252,25624,252_25624
conf/vldb/XieH94,7P8_zVPEW64J,253,28454,253_28454
conf/vldb/KamelF94,ONuqAb6sM3oJ,255,4779,255_4779
journals/sigmod/Snodgrass02,_qopgNiYmXQJ,256,22558,256_22558
journals/sigmod/VassiliadisS99,eGARASwVBrUJ,257,25081,257_25081
conf/sigmod/LakshmananPZ03,rNu93TfKkd4J,258,1239,258_1239
journals/sigmod/JacobS99,3-iiSyJLwLkJ,259,50528,259_50528
conf/sigmod/WitkowskiBBDFGSS03,ygCe1xRFuKgJ,260,57246,260_57246
conf/sigmod/GuoSBS03,p_PDgjVRUS4J,261,42578,261_42578
journals/sigmod/KempsterST99,JfmkT9KvKWoJ,262,2647,262_2647
conf/sigmod/Al-KhalifaYJ03,boJKiPCpIxkJ,263,38552,263_38552
journals/sigmod/GatziuJSV99,HtqrJuo7GSsJ,264,29992,264_29992
conf/sigmod/WangPFY03,jpNXw9L7pxgJ,265,31771,265_31771
conf/sigmod/SionAP03,_L0DhCpFaXMJ,267,26870,267_26870
journals/sigmod/EisenbergM00,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D344819%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,268,58906,268_58906
conf/sigmod/AgrawalES03,HypA8oN4PqsJ,270,18378,270_18378
journals/sigmod/DongS00,gH_HDDJghbAJ,271,2206,271_2206
conf/sigmod/SchleimerWA03,nCRFjDfhOmcJ,272,10767,272_10767
conf/sigmod/JohnsonD03,5OYgUpRggiMJ,273,13887,273_13887
journals/sigmod/CeriKKLOSV00,nLbW09uNfmsJ,275,22741,275_22741
conf/sigmod/GuptaLM03,iCg06Oc9DV8J,276,5480,276_5480
conf/sigmod/AgrawalK03,ewoQO00BuFoJ,277,32030,277_32030
journals/sigmod/PaepckeGRC00,hxFRuvCtvGEJ,279,11287,279_11287
conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,VuY9Y49GqXgJ,280,32104,280_32104
conf/sigmod/Ullman03,TabFkjNTLMsJ,281,38039,281_38039
journals/sigmod/BonifatiC00,XCdMiXLp41IJ,282,22936,282_22936
journals/sigmod/LiefkeS00,N0eowMtIAukJ,283,6852,283_6852
journals/sigmod/Vassilakis00,nZO8ZA4eYzYJ,285,12967,285_12967
conf/sigmod/Mamoulis03,8-eaDTdtfY4J,286,56525,286_56525
journals/sigmod/PourabbasR00,3y6y5AXu-j0J,287,62295,287_62295
conf/sigmod/JagatheesanR03,hHMtxXFlyu8J,288,58316,288_58316
conf/sigmod/ChengKP03,kSt-Pqp2ilYJ,289,53505,289_53505
journals/sigmod/RoddickABDEGHLMMMW00,eA8gNVxHRJ4J,290,38267,290_38267
conf/sigmod/OlstonJW03,D1h_jOHVyA4J,291,30276,291_30276
journals/sigmod/LabrinidisR00,Wcbvsi-QDtcJ,292,36427,292_36427
journals/sigmod/Palpanas00,MGG31wuhuUIJ,293,35073,293_35073
conf/sigmod/AbiteboulBCMM03,Rjb06zlxbLIJ,294,42505,294_42505
conf/sigmod/BabcockCD03,mbhZ3gSR3NMJ,296,56874,296_56874
conf/sigmod/ShenNSHS03,LjrsWIr3rhAJ,297,33631,297_33631
journals/sigmod/WestmannKHM00,9jyzas_rFd4J,298,51865,298_51865
conf/sigmod/BornhovdAKMPR03,7lPu8hBgKksJ,299,52273,299_52273
journals/sigmod/VetterliVS00,h7RBOvmQHhEJ,300,26469,300_26469
conf/sigmod/DeHaanTCO03,gyYBYgpB63sJ,301,41432,301_41432
journals/sigmod/ClementiniF00,kdU4iiwLli8J,302,17346,302_17346
conf/sigmod/CranorJSS03,nHesT9ADTdEJ,304,23613,304_23613
conf/sigmod/Bierman03,vQcfluHWCeAJ,305,27191,305_27191
journals/sigmod/WuY00,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D362096%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,306,24409,306_24409
journals/sigmod/ArpinarD00,YQQMvRraFBwJ,307,2496,307_2496
conf/sigmod/SunAA03,wR6CGftUyH0J,308,2795,308_2795
conf/sigmod/ReissK03,L1m30vG-d5sJ,309,17059,309_17059
journals/sigmod/KantM00,url:http://portal.acm.org/citation.cfm%3Fid%3D362084.362091%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,310,30297,310_30297
conf/sigmod/LometT03,GidOUF_Jd4oJ,311,21281,311_21281
conf/sigmod/DeshpandeNGS03,fU6zoUKeXe8J,314,38069,314_38069
conf/sigmod/LiBKN03,micx2kyGfKIJ,315,37433,315_37433
conf/sigmod/PapadiasTFS03,MkRJhOROQjsJ,317,5601,317_5601
journals/sigmod/Mendelzon00,1qc5YYmUHXAJ,318,13893,318_13893
conf/sigmod/CuiOTS03,qx5oR09jmMwJ,320,19975,320_19975
conf/sigmod/Stonebraker03,_CGWFOx5yt0J,322,9271,322_9271
journals/sigmod/LeeC00,3kSb_ooS1cgJ,323,33953,323_33953
journals/sigmod/PoessF00,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D369291%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,332,35130,332_35130
conf/sigmod/GotoK03,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D872837%26type%3Dpdf%26dl%3Dportal%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,333,56094,333_56094
journals/sigmod/Bussche00,CER66z1lh0MJ,334,38464,334_38464
conf/sigmod/PadmanabhanBMCH03,wI75uFSs0bwJ,335,17260,335_17260
journals/sigmod/TheodoridisN00,DXTczW8Dv4MJ,336,19208,336_19208
journals/sigmod/Halevy00,czgyMu7SHcgJ,337,53325,337_53325
conf/sigmod/KriegelBKPS03,tsqBH6P4jMcJ,338,23606,338_23606
journals/sigmod/RashidS00,e0GH54HirssJ,339,44136,339_44136
conf/sigmod/ChaudhuriKN03,ES6QyfgebIcJ,341,37781,341_37781
journals/sigmod/Jhingran00,lrGge6mTVckJ,342,16669,342_16669
conf/sigmod/KimC03,BWV2Oys1VXsJ,344,33084,344_33084
journals/sigmod/PossasMCR00,7szp78IyFdQJ,350,17953,350_17953
conf/sigmod/Cabrera03,vtgbh3Fwu58J,351,53421,351_53421
journals/sigmod/HasselbringHHKRRS00,JW49QfQtuTMJ,352,30394,352_30394
